q_value,value1,value2
Q107231716,6eadf046-702c-42e0-b6c0-b2bc1429ad52,1958-01-01T00:00:00Z
Q1072590,f9a64d52-5182-419d-aad4-a99531a0ef62,1933-01-24T00:00:00Z
Q1072865,404f274a-e506-465f-8d67-1ced0723e00d,1919-02-01T00:00:00Z
Q107295304,1ed46818-3e2b-4ed8-8019-aea5d330d6e6,1993-07-27T00:00:00Z
Q107368659,94a0ea36-7fbd-4f48-b0ed-d0785d0b4996,1968-02-01T00:00:00Z
Q107378969,4999a7ff-6c0e-4e1e-bffb-f380ce994e2e,1907-01-01T00:00:00Z
Q107455254,ce39de28-c09a-46bd-ad92-8bdaddcb6f0f,2002-04-29T00:00:00Z
Q107551907,94ed47a4-2ab9-4287-8f93-13fe47d474c1,1986-11-07T00:00:00Z
Q107559141,6dc3d21f-1a47-4b0d-8293-c9b48ba701dd,1985-01-01T00:00:00Z
Q107612897,03df0be2-1963-47a3-90fb-d77fc6f785ca,1957-01-01T00:00:00Z
Q107974739,7218bda9-df86-4c38-8a50-54f06eed1498,1974-06-28T00:00:00Z
Q1080033,6c054a38-e4be-4302-86c6-aba80dad01ee,1914-06-13T00:00:00Z
Q1080882,1408dc2d-6473-498d-b254-e448e98680ef,1927-09-27T00:00:00Z
Q108124377,5f6f84ea-84d5-4355-bdad-f3055a7a97c4,1996-05-30T00:00:00Z
Q1082616,24382e8c-bed8-48d4-8c3c-ebbb1b8810ec,1901-08-14T00:00:00Z
Q108270007,6ce05849-ef09-4dd8-903e-fa223dc804a0,2001-07-11T00:00:00Z
Q108281549,6b27ab6f-ce68-4129-944b-1e12a4878690,1973-01-01T00:00:00Z
Q108304,785aa2ad-0ab3-40cc-ae2a-2c1d0d8910da,1978-03-04T00:00:00Z
Q108327145,6a9669c2-a1de-4bd8-ac58-5009881ae877,1969-01-01T00:00:00Z
Q1083728,26c840d1-c9e0-4090-8cb3-dd56f934a7dc,1956-11-22T00:00:00Z
Q108377801,8710d102-c145-46fa-b7f4-0d260bce4137,1972-01-08T00:00:00Z
Q108377830,758b15bd-7612-4464-9a34-a13ca62a497b,1984-04-17T00:00:00Z
Q108377931,9394d1f8-3f8e-40b6-959c-906456171c49,1975-01-18T00:00:00Z
Q108466044,332440ef-0d6b-4613-9d6e-1dc1df8b194b,1993-08-08T00:00:00Z
Q108468839,947d25b0-1ef2-4026-be09-b133f0a112e7,1992-12-04T00:00:00Z
Q108513861,ecb28706-2e8e-49ac-9aea-8f8e4aa70514,2000-10-23T00:00:00Z
Q1085705,c7b0dab2-b7db-49d7-a8eb-20590c9a98ed,1977-01-20T00:00:00Z
Q1085834,8cbd803d-0a5f-43fa-a72f-a61fc3729072,1888-01-10T00:00:00Z
Q10862273,30a8f826-d700-4035-8ebd-9c3c8098f09c,1979-02-07T00:00:00Z
Q1087374,178b30b8-faf2-4ec6-9da0-f78c62671371,1972-01-22T00:00:00Z
Q108751984,ab75dfb2-0a19-4b3f-a964-6f48880bec5d,1981-06-12T00:00:00Z
Q1087536,df9b42d1-fb89-4ae4-889f-e2334a804ef2,1932-12-25T00:00:00Z
Q108939470,5a1b1890-3d79-4701-a685-7a6b1a2b8326,1977-01-01T00:00:00Z
Q109007305,151009ca-820c-4394-bae1-ecb32d31c276,1994-12-23T00:00:00Z
Q109107869,1fb732c4-3a43-4a6c-914c-4b2354270f00,2002-03-27T00:00:00Z
Q109468806,9c008f6d-0c05-4467-9399-2d0f5a6a39d9,1960-11-13T00:00:00Z
Q109513527,07eb2142-c95f-4812-acec-23265e5b6e95,1955-01-14T00:00:00Z
Q109708894,6ec25db1-c42a-4c2e-b770-11860f59bb89,1950-01-01T00:00:00Z
Q1097664,85e6e59e-f1f8-41b0-b713-dfdf56080079,1934-01-03T00:00:00Z
Q1097977,7819575c-e3c3-4822-bca4-619a1848f225,1948-04-09T00:00:00Z
Q1098029,7d0ddb2c-e59e-48d5-bf67-9a1c2b722ca6,1939-11-29T00:00:00Z
Q1098069,b6e02df8-0686-4b4c-b65a-463d2a8d4608,1954-01-01T00:00:00Z
Q109916202,4ce6d96f-64bf-4b36-8c55-6a2ecfdacbdd,1985-08-02T00:00:00Z
Q10993506,38667c76-0396-4d84-be58-f0b37ff5bc9f,1920-08-26T00:00:00Z
Q109936158,7816ea3f-526b-478c-9cfc-70b2ec07ed63,1997-02-05T00:00:00Z
Q110062793,71374ac0-a45c-43df-8e66-a33846dea18b,1994-04-11T00:00:00Z
Q110088341,cd396f49-e7fa-47ca-8c46-d2e30d4b126c,1984-02-04T00:00:00Z
Q110153815,e01e49ee-5dda-4bb4-bd36-d031f54ece16,1998-01-01T00:00:00Z
Q110153874,34192f95-bfb6-4f29-aeca-788b25d5d8d6,2002-02-22T00:00:00Z
Q1101617,a94d4e77-88e8-4544-b173-370d42b16e6d,1926-09-12T00:00:00Z
Q110162378,62ecd859-e63b-46f0-95d8-69e860151adb,1995-05-08T00:00:00Z
Q110162437,da9f9ee6-68e6-4ff7-82fc-916b80a1e58e,1995-01-01T00:00:00Z
Q110162485,fe160aa8-2f2c-40e6-be54-68589be5799f,2002-03-20T00:00:00Z
Q110168282,ebd789ea-7c4f-4382-aed0-df88c25ea552,1977-04-13T00:00:00Z
Q1101985,cdcea808-6fe2-4935-a37f-6e35bf38f29a,1919-12-10T00:00:00Z
Q110250125,99c612da-9d17-42e4-bbea-14e58a71482e,1972-01-01T00:00:00Z
Q110376852,d44549c0-31a0-46fc-b9cc-b91c346db849,1956-09-16T00:00:00Z
Q110424474,0bcf567f-2006-4061-81e9-5bccb5261272,1974-06-02T00:00:00Z
Q110448295,429d902a-c3d4-4ba7-9d51-2e9d0631885a,1948-05-09T00:00:00Z
Q110473916,00c57879-88d1-4aa9-a7c7-8eb899560d05,1995-01-01T00:00:00Z
Q110475809,ae9d96e9-9550-435d-bdd5-b9bade82635e,1979-03-08T00:00:00Z
Q110560446,f8e37dae-fd10-439c-91c1-3e8e2e9340ab,2002-09-14T00:00:00Z
Q110601995,7cf14a00-46a0-41dd-b296-dcab1242c4b9,2000-08-17T00:00:00Z
Q110606167,8fefa22b-b7f2-4c1b-a373-6ceeb0e3505e,1987-01-01T00:00:00Z
Q110616376,d986918d-7b78-4e1c-971c-11910e00a109,2002-01-01T00:00:00Z
Q110787733,ff368182-d633-4889-9d42-4d39e551653c,1950-01-01T00:00:00Z
Q110960577,9c4e51eb-4fff-43de-93fb-60047f46fc0f,1941-05-19T00:00:00Z
Q1110170,7f003532-283f-4039-b12e-cb62cd1a466a,1927-02-22T00:00:00Z
Q111024443,5ba1ec39-e9b0-46ae-9876-75ca114e8677,1962-06-20T00:00:00Z
Q1110460,086566f6-0e35-4a7f-87de-e780e6c8ece2,1974-09-28T00:00:00Z
Q1111535,925df8c2-3a3d-4bf5-afde-eb272276b9c7,1980-01-01T00:00:00Z
Q111186783,9908bb2b-b736-49f3-8aff-9b60fc2538ac,1965-01-01T00:00:00Z
Q111200133,542eb258-7d81-4115-a7e1-d7ca6eacf587,1996-06-28T00:00:00Z
Q1112265,1be07822-da22-48af-bde3-172a7dec5c44,1923-04-19T00:00:00Z
Q1112630,149670bd-73da-4cc5-928c-e6a42b20d548,1906-05-05T00:00:00Z
Q1114027,cd31ed88-3399-47c4-8245-c4efb2e3c5e9,1857-05-26T00:00:00Z
Q1114121,7d8f28e3-cfee-4805-a56b-394882f77519,1956-10-31T00:00:00Z
Q111506597,f509d0ca-5a20-43c0-81be-8c7cf28bfdd9,1953-01-01T00:00:00Z
Q111506597,f509d0ca-5a20-43c0-81be-8c7cf28bfdd9,1953-09-25T00:00:00Z
Q111506597,f509d0ca-5a20-43c0-81be-8c7cf28bfdd9,1953-09-29T00:00:00Z
Q111677290,f67426f4-7f25-4a39-a0a8-78040560dd3f,1986-04-27T00:00:00Z
Q111697188,4b910a77-1d71-48e3-95f6-72ba72be7257,1961-11-26T00:00:00Z
Q111721840,40660cc0-5fdf-43a6-b37b-53c53c8c1be0,1989-07-24T00:00:00Z
Q111779,6df98e7f-b1eb-4c59-8244-cd6518b08f2b,1908-10-30T00:00:00Z
Q1117917,53dee8e1-6457-4ac7-bd9d-b3f542c2fa8b,1984-09-27T00:00:00Z
Q1118972,5d8d2bda-9121-47ca-92fe-41ab0710ee30,1892-07-11T00:00:00Z
Q1118997,eb4503fe-0d8e-4c34-b791-6a5dd533871f,1943-01-01T00:00:00Z
Q1119632,6ded5557-b1cd-4945-8980-6953595bba75,1956-10-25T00:00:00Z
Q11198914,3a4f40d4-0db5-48bf-b7b6-0eea052e1c17,1980-01-01T00:00:00Z
Q11198914,5a3634fe-21be-4b54-bd80-0fd605b80d2c,1980-01-01T00:00:00Z
Q1121145,a2063929-f573-422e-8c7c-43217c5c8dfa,1900-04-25T00:00:00Z
Q112130364,a307452f-4ab5-434d-a5e3-05eb6d657d42,1895-01-01T00:00:00Z
Q112164587,127267fd-a587-407e-862d-84a7547519f7,1985-01-01T00:00:00Z
Q112194677,18d087eb-bef5-4025-8575-ebcf7ab99dfa,1999-11-28T00:00:00Z
Q112225861,91c7e45f-aedc-4f82-8acc-c3514786f7dd,2001-06-01T00:00:00Z
Q1122319,6f6d8b59-84cb-4c07-bea0-b0701d54d82d,1953-06-25T00:00:00Z
Q112255529,3173ebe4-4861-4533-8f91-bdc5482c4387,1998-03-08T00:00:00Z
Q112279562,2937bcdf-7667-4e72-a5e6-87ada768b0f5,1971-01-01T00:00:00Z
Q112330747,9b6de263-4f58-46f3-ba49-dd09aaffb9b0,1996-01-01T00:00:00Z
Q11237435,ba7a66fe-ebc9-4941-8996-a23e2bcef933,1960-10-08T00:00:00Z
Q1123779,ef15f44c-8b8d-419b-b68f-e42c7d9f27f9,1932-05-12T00:00:00Z
Q112405060,59b47ecd-3fee-4c81-9f80-8ad14171de62,1979-01-01T00:00:00Z
Q1124149,b9405bdf-ca2a-4ff3-8a6c-81bbfe381786,1977-12-18T00:00:00Z
Q112452228,c75f8769-0a88-4a3b-8db9-d5c0ea7ecb3a,1875-01-01T00:00:00Z
Q112481670,da4b4d68-3fe3-4d2b-86b8-379fb32f1711,1872-01-01T00:00:00Z
Q1124999,074c3f23-4879-413b-93c5-01e8c5cfa886,1876-01-01T00:00:00Z
Q1125077,ab8afee3-c95d-4451-bd92-cf08ee4e7c3c,1892-03-30T00:00:00Z
Q1125124,eede173d-00a5-4055-9e21-e0c590fc3fba,1952-09-30T00:00:00Z
Q1125297,32452d79-9dcd-41fc-a106-256b7fbfd8e5,1955-06-03T00:00:00Z
Q112578203,618f94cf-81f9-4756-b0dc-6017417f895b,1937-01-01T00:00:00Z
Q112966983,d0771833-e5f4-4131-a99d-2deac9d1fe0f,1931-04-30T00:00:00Z
Q112969983,c7f18d59-d04b-4306-8bd1-c3d05ffea501,1971-08-22T00:00:00Z
Q1130258,4615f018-862b-40db-8a35-8fabf6cd7be1,1934-06-27T00:00:00Z
Q1130486,66fc41d2-8cea-4580-a21a-c002ce7da2a1,1889-04-21T00:00:00Z
Q113054569,ac5883ae-6ee1-4492-badb-9142fcc560e6,1982-04-19T00:00:00Z
Q1130939,f65a07df-25ee-4319-86a1-ec268ad55f03,1950-11-25T00:00:00Z
Q11310190,4e10519c-a319-4f31-90b6-74604610eb2a,1921-06-02T00:00:00Z
Q11311049,7e0d1feb-22a9-41c5-8728-1e0c6d24c376,1955-01-01T00:00:00Z
Q113163047,c7b2e4b2-11f6-482e-aef6-f1d4ad361dcf,1979-01-01T00:00:00Z
Q113293294,5eb81a65-4fcb-4e4c-a1f8-a8fdd38439cc,1993-01-18T00:00:00Z
Q11329766,3330261f-8f0b-4309-934d-1e4be2db6cdb,1970-01-13T00:00:00Z
Q11331342,70355ef2-153e-4b2e-a019-ba1b88491b16,1887-11-10T00:00:00Z
Q11339877,53e31677-440b-49dd-adc3-c3df2a5314b0,1956-12-09T00:00:00Z
Q11339877,5fce80af-90c3-419b-97e6-55d0a1e98c2f,1956-12-09T00:00:00Z
Q11350259,6be11fa8-d163-4d6a-99cd-aeef49493a2a,1950-07-03T00:00:00Z
Q1136235,7115c2bb-53e8-44f6-b746-53b8e5168dbf,1952-02-19T00:00:00Z
Q113989586,4b51561b-b24b-4b80-989a-508212d5f7c8,1990-01-01T00:00:00Z
Q1140368,2bbc4f2b-2f59-46a9-8ed1-e66717ef8fde,1975-04-03T00:00:00Z
Q114090137,f9fade41-3acd-4e94-ac58-f073491b0da3,1997-07-15T00:00:00Z
Q1141294,d9de73ca-314a-4fbd-97b8-065d411465ad,1902-08-08T00:00:00Z
Q1141599,450d2e04-324b-4e66-b72a-5cf12f2119b6,1989-09-01T00:00:00Z
Q114285,9128bb19-1bb7-4f20-9e42-7cd9979a6792,1951-04-04T00:00:00Z
Q114336605,a6254baa-d804-46cf-bef7-7bcd285a7f3c,2003-03-27T00:00:00Z
Q114736783,e48de3d8-18c8-43b8-a60b-debaf7c68fe1,1946-02-22T00:00:00Z
Q1147745,4ffc64c7-bfcb-4f01-86be-8bc6ad0c2c8d,1967-03-28T00:00:00Z
Q1148968,a53d818d-1f93-4e4f-b813-17d892b96e05,1956-03-02T00:00:00Z
Q115041415,7dcd417c-1c08-4177-9d9b-f29248077e85,1982-11-24T00:00:00Z
Q1150453,1ed8f1a1-168c-4cc5-9dab-ddc797054362,1953-12-28T00:00:00Z
Q1150470,dd5f8608-7ca2-4f9c-9ce8-d679fd3f829a,1906-04-05T00:00:00Z
Q1151356,6b6d6c5d-1459-4a1e-935d-bcadb61a2ab6,2000-01-01T00:00:00Z
Q1154056,c54d82e4-2db1-454b-9176-1266d163ae9b,1967-01-06T00:00:00Z
Q1154163,0f18d2a9-cc0c-42d3-a045-110cdf9a8cac,1968-11-26T00:00:00Z
Q1154331,0a1e155a-6c87-4c70-82e9-a3ef5f8ecba2,1923-11-06T00:00:00Z
Q115433350,1adc9100-f1a7-4a36-b8cf-0dd29326b824,1969-05-12T00:00:00Z
Q1154378,190f3fd4-6226-458b-a5a0-abb9935fe84c,1882-06-04T00:00:00Z
Q1154378,190f3fd4-6226-458b-a5a0-abb9935fe84c,1884-06-04T00:00:00Z
Q1154391,bf26f3c4-4795-4a0c-9856-8e2a171f7936,1887-01-28T00:00:00Z
Q1154397,20ea053a-9fcf-4925-8195-07fede778c9d,1914-03-28T00:00:00Z
Q1155214,4520c1fc-f31f-4f9b-97ca-b690f4a16c51,1972-08-15T00:00:00Z
Q115556198,b6572e35-3727-44af-96e8-4ed865d8c5a9,1982-08-14T00:00:00Z
