q_value,value1,value2
Q1044237,f3c168e9-7950-4258-b83c-90f0824d4aa5,2023-03-22T00:00:00Z
Q1044525,8865e916-79ce-4bae-a759-06ece9061151,1802-01-01T00:00:00Z
Q1044525,8865e916-79ce-4bae-a759-06ece9061151,1802-09-21T00:00:00Z
Q1044525,8865e916-79ce-4bae-a759-06ece9061151,1812-01-01T00:00:00Z
Q104464,1c810c60-20b0-4a17-a219-d62abd8d675a,2020-12-20T00:00:00Z
Q104476,d725719a-d6d3-4e93-8d04-e9fda97c9874,1990-06-01T00:00:00Z
Q1045561,fb2cfdc3-1085-41fc-9d5a-24deb210347f,2015-11-14T00:00:00Z
Q1045625,00eec6e4-0efe-46b3-b828-91cdbf29597f,2017-01-31T00:00:00Z
Q104604,a92dd04a-a3e0-47f6-8c9d-81445a339585,1950-05-29T00:00:00Z
Q104645,71102853-beb8-490e-aba7-6bc52e45ddf3,2014-07-23T00:00:00Z
Q104688653,1257705f-0d0f-4e86-9e7f-3c602ee4b880,2013-05-30T00:00:00Z
Q104737,2ad6b30c-752f-4ed5-9df2-7a120c299d6a,1974-11-09T00:00:00Z
Q104758773,45be7feb-6933-4282-a3ac-af90aa046df7,1950-01-01T00:00:00Z
Q104759,54b92ac7-f7ac-4723-b242-8336fa0554b0,2016-06-02T00:00:00Z
Q104759,e0ec3fa7-a916-4835-84f6-6b7c917d867f,2016-06-02T00:00:00Z
Q104760,ec9f0cc8-01a5-4f4c-afee-c1398f9e5444,1999-12-22T00:00:00Z
Q1048082,58696b1c-15cf-4064-9125-a32d789da6d9,1690-04-17T00:00:00Z
Q104839737,be41740a-6956-43ed-b474-87a0f7222014,2015-07-13T00:00:00Z
Q104840,4f50277b-397e-40d0-9fa5-99cea1ab7616,2019-11-10T00:00:00Z
Q104857,678066ae-7f86-4122-a5e3-5331ea75ce07,2021-12-04T00:00:00Z
Q104867,ce27764a-1907-4f26-a9b2-4da48612a48e,1856-01-19T00:00:00Z
Q105016,8718ba01-357d-4235-88f0-cd6008296930,1825-04-03T00:00:00Z
Q105052,af8a075e-0e4f-49eb-b563-06d635407035,2003-10-01T00:00:00Z
Q105063849,56ff528d-a6a9-4ae8-bdda-faac7e45e67b,2010-02-23T00:00:00Z
Q105080310,efcfd5b1-0fd4-4425-ac1d-fd23671decbf,2020-03-19T00:00:00Z
Q105087,709bdd9d-ec24-40a1-bd31-12b346a331e4,1989-01-24T00:00:00Z
Q105090,edf9d67e-754d-4102-a6ed-d546edccc55c,2009-01-27T00:00:00Z
Q105103,7684fc10-50a8-4017-a366-c65d32b01583,2012-04-09T00:00:00Z
Q105114,210f5bdf-586e-4f78-9356-4b716674ed9f,2003-05-30T00:00:00Z
Q105151,ad200fd5-a6b4-4542-9cfa-3d539c6ba7e9,1977-09-21T00:00:00Z
Q105204,99f8f003-157f-41eb-9632-0a0bdd2c9b35,1724-11-10T00:00:00Z
Q105259,10f548ad-429d-4363-b7cd-4165e4a7d2d6,1947-04-06T00:00:00Z
Q105281,dabac8ca-b718-4db9-b965-c1b15e2285c7,1959-10-08T00:00:00Z
Q105282,d0523588-1484-4bde-8009-5632156873a0,2007-08-04T00:00:00Z
Q105294,fa08e788-9d5b-4f39-a240-6cb266776524,1662-01-13T00:00:00Z
Q105612,5cd8a3e1-b9ca-4c98-80ba-f5203150c98e,1970-04-17T00:00:00Z
Q105664,07391792-b5d3-43fc-bcb4-b7d6ef3cc84b,2020-02-27T00:00:00Z
Q105665,c44281b7-c6a7-4ade-bd0b-14295b6f75f9,2014-01-22T00:00:00Z
Q105681,f5bc8f9c-7547-42ab-abbf-aa1ad877b2a6,1990-11-24T00:00:00Z
Q105689,c1842745-4b2a-4082-9da1-283364a88b99,2020-08-09T00:00:00Z
Q105690,0c0ab7bf-f77a-479a-b037-e0dcc91157b5,1961-12-13T00:00:00Z
Q105714,caefca56-b568-431a-8211-ae90b1d98136,1997-02-04T00:00:00Z
Q105715,45bab196-4c21-4c8f-8ad6-7fa0b1036bab,2000-10-06T00:00:00Z
Q105715,45bab196-4c21-4c8f-8ad6-7fa0b1036bab,2000-11-06T00:00:00Z
Q105715,45bab196-4c21-4c8f-8ad6-7fa0b1036bab,2000-11-07T00:00:00Z
Q105749,f884f761-57ff-4069-ab8f-740f8111c2a5,1956-07-11T00:00:00Z
Q105752,40588708-172d-4bca-824f-7ebebfec7578,2017-03-23T00:00:00Z
Q105757,dca5b70c-eb86-4f0b-9cb2-37bbc6e63bc9,1668-01-01T00:00:00Z
Q105775,73d59c80-29c6-4c3d-a047-26ce83dd7f04,1623-01-01T00:00:00Z
Q105843,8b1e0c7f-cda0-4186-8450-0e24f921cb6e,2009-12-10T00:00:00Z
Q105855,40170ccb-966e-40ea-b85e-9b43f34f1279,2016-12-26T00:00:00Z
Q105867,9f8c5115-a86b-4251-b110-770a3232dd23,1574-08-20T00:00:00Z
Q105924,e8ad38e4-8cd5-46eb-b948-4f9a77d34076,1962-03-27T00:00:00Z
Q106051,89e5c5a1-54d5-4d9b-a9aa-0cc715836627,2020-02-25T00:00:00Z
Q106058,cf5f85ee-11c8-471d-bd19-37b40b612515,2021-08-25T00:00:00Z
Q106092,2c91555f-2c7b-4ca8-bad0-833b134c8d0a,1999-03-11T00:00:00Z
Q106112,fa77b90e-3ff1-4f4b-a905-09ee05745753,1622-02-05T00:00:00Z
Q106235,212f741d-48f3-41a7-acb2-c9975a85e961,2016-03-31T00:00:00Z
Q106270,a783044b-459a-4a3a-a325-21d18a128600,2004-09-04T00:00:00Z
Q106391,448585f0-c834-4780-8ab6-a4432dae45cf,2015-09-24T00:00:00Z
Q106393,da6db4b3-b208-413f-85b6-9f8ffde7d41d,1960-07-27T00:00:00Z
Q106398,23186cd7-6b21-4e44-a1b1-5caeab1e70a9,1977-04-01T00:00:00Z
Q106401,fc0b32ac-52b2-4936-8f58-28e35128b6a3,1982-03-20T00:00:00Z
Q106421,01dcd944-c786-4df4-8163-433a89db07d7,1984-07-12T00:00:00Z
Q106434,e3d5cfcd-e42b-411d-add2-716a5029f59b,1920-10-02T00:00:00Z
Q106523,9ea2149e-9a91-45d1-afd8-b590a86bedf6,2015-05-29T00:00:00Z
Q106564,4db58833-814b-4f70-995b-ff042d639cfc,1975-11-19T00:00:00Z
Q106601,48951f0a-8fff-47d5-9f54-ce54394ca328,1997-02-09T00:00:00Z
Q1066480,dc3a142b-5e34-4ec2-aa3e-9db24441fc23,2012-03-28T00:00:00Z
Q106675092,202b87b0-84c6-4ed6-9aec-9124eff13b70,2023-09-08T00:00:00Z
Q106704,7d7c7757-8633-4973-b2ac-cb38abed48df,2021-12-24T00:00:00Z
Q106711,ea4f97f9-0bbe-4573-b08a-26ad733bb2a1,1819-07-29T00:00:00Z
Q1067512,e70d7e98-7869-4012-a4f5-9cccb554ab5e,2019-08-28T00:00:00Z
Q1067523,aa5f72a4-2d94-42b2-93f2-31f50b12c4ac,2009-12-31T00:00:00Z
Q106769,019e9ee4-1643-48a4-9cbf-f8ba49119969,2015-09-09T00:00:00Z
Q106822,15f231a0-85d2-4cc8-9feb-e224e7005f61,1785-04-26T00:00:00Z
Q106834,a60c9fc7-94c6-41d5-8406-5c4d26eb43df,2019-01-16T00:00:00Z
Q106851,2c5a086c-1674-4915-8c94-4ccaacc7b563,1494-08-20T00:00:00Z
Q106889,6990de42-9b54-42f8-9a2a-a32e16ea7d5a,1849-12-10T00:00:00Z
Q106906,9d550ffe-e217-4086-b860-f109efa9f36c,2007-06-28T00:00:00Z
Q106910,01104bc3-cfba-401a-af66-c62587d25b58,1854-05-19T00:00:00Z
Q106910,16071069-f386-4b8b-b926-bc9f7922cb7d,1854-05-19T00:00:00Z
Q106926,58fb8170-051b-4605-a4cd-3095d927b1b1,2003-08-02T00:00:00Z
