q_value,value1,value2
Q119036137,9ed67b68-9fa7-471a-99eb-483139293274,2016-01-01T00:00:00Z
Q1190734,7f53fb71-eb57-4b1b-973c-22ce0dff5db8,1994-01-01T00:00:00Z
Q119496321,aeb6bcfb-0d62-4e9d-985c-1ee0d2ab158f,1931-01-01T00:00:00Z
Q11978682,05f92163-385d-4e25-b160-5e7bc478938a,2007-01-01T00:00:00Z
Q119872859,fc6fe95d-ab24-44fd-a086-f33a505ad518,2019-01-01T00:00:00Z
Q1199856,e4e27e13-cb4e-4c96-baee-5513355f08be,2004-01-01T00:00:00Z
Q120146,82661211-7c8a-4bb2-b96f-f579ae25d767,1968-01-01T00:00:00Z
Q1201634,28bf3810-f83f-47a5-95e8-82306082fb62,1994-01-01T00:00:00Z
Q12054979,d5c4bb78-6e01-495a-8f2b-b3560d6394c6,1978-01-01T00:00:00Z
Q120567695,3f7e6b2a-720d-4781-b2cf-c0dd679693f0,2018-01-01T00:00:00Z
Q1206752,9dc9e7e5-e576-42f0-8c50-10c4d0578262,1984-01-01T00:00:00Z
Q12068605,6a3ab6b6-cad7-481f-8be3-3ec9bec452e3,1982-01-01T00:00:00Z
Q120784978,1daf751b-edae-4104-ab26-8a3979e7bd2d,2009-01-01T00:00:00Z
Q120835122,e20df724-f52a-40fd-8866-41bcdcb0680d,1970-01-01T00:00:00Z
Q120986483,7cec0620-d2f5-4a8e-bb89-689a5464cd76,1971-01-01T00:00:00Z
Q121009994,01aebf3d-2fc0-471f-96af-e61d02195686,2004-01-01T00:00:00Z
Q1217509,61cd6f2a-cdde-4f34-aacd-b992badcacba,2004-01-01T00:00:00Z
Q122089,88ea8c65-d758-4156-90cf-9739d753ca50,1967-01-01T00:00:00Z
Q122627,d94345ad-b7cb-406e-bd66-3ed8434f2316,1991-01-01T00:00:00Z
Q122811316,427972ab-c8e2-4cd8-a489-004f5a0ff12d,1994-01-01T00:00:00Z
Q1228291,75df1c98-2075-494f-9612-b87513f0e50c,2001-01-01T00:00:00Z
Q1228311,2b87e134-b4a3-48d8-afac-9501d4c6e931,1983-01-01T00:00:00Z
Q1228453,a9301bf4-cd9d-41e6-86f1-20463a9d1292,1989-01-01T00:00:00Z
Q123025,d69ee229-2f36-494c-b104-9ae0d8be506b,1980-01-01T00:00:00Z
Q1231035,9fb96663-0576-45ae-8b7d-3a6d1be5b0a5,1999-01-01T00:00:00Z
Q123148190,4619c6b2-11d0-443d-bc61-a218b437e6dd,2010-01-01T00:00:00Z
